year,ceremony,film,winner,nominated_for_film_editing,awarded_for_film_editing
2020,93,The Trial of the Chicago 7,FALSE,TRUE,FALSE
2021,94,Belfast,FALSE,FALSE,FALSE
2021,94,CODA,TRUE,FALSE,FALSE
2021,94,Don't Look Up,FALSE,TRUE,FALSE
2021,94,Drive My Car,FALSE,FALSE,FALSE
2021,94,Dune,FALSE,TRUE,TRUE
2021,94,King Richard,FALSE,TRUE,FALSE
2021,94,Licorice Pizza,FALSE,FALSE,FALSE
2021,94,Nightmare Alley,FALSE,FALSE,FALSE
2021,94,The Power of the Dog,FALSE,TRUE,FALSE
2021,94,West Side Story,FALSE,FALSE,FALSE
2022,95,All Quiet on the Western Front,FALSE,FALSE,FALSE
2022,95,Avatar: The Way of Water,FALSE,FALSE,FALSE
2022,95,The Banshees of Inisherin,FALSE,TRUE,FALSE
2022,95,Elvis,FALSE,TRUE,FALSE
2022,95,Everything Everywhere All at Once,TRUE,TRUE,TRUE
2022,95,The Fabelmans,FALSE,FALSE,FALSE
2022,95,Tár,FALSE,TRUE,FALSE
2022,95,Top Gun: Maverick,FALSE,TRUE,FALSE
2022,95,Triangle of Sadness,FALSE,FALSE,FALSE
2022,95,Women Talking,FALSE,FALSE,FALSE
2023,96,American Fiction,FALSE,FALSE,FALSE
2023,96,Anatomy of a Fall,FALSE,TRUE,FALSE
2023,96,Barbie,FALSE,FALSE,FALSE
2023,96,The Holdovers,FALSE,TRUE,FALSE
2023,96,Killers of the Flower Moon,FALSE,TRUE,FALSE
2023,96,Maestro,FALSE,FALSE,FALSE
2023,96,Oppenheimer,TRUE,TRUE,TRUE
2023,96,Past Lives,FALSE,FALSE,FALSE
2023,96,Poor Things,FALSE,TRUE,FALSE
2023,96,The Zone of Interest,FALSE,FALSE,FALSE
2024,97,Anora,TRUE,TRUE,TRUE
2024,97,The Brutalist,FALSE,TRUE,FALSE
2024,97,A Complete Unknown,FALSE,FALSE,FALSE
2024,97,Conclave,FALSE,TRUE,FALSE
2024,97,Dune: Part Two,FALSE,FALSE,FALSE
2024,97,Emilia Pérez,FALSE,TRUE,FALSE
2024,97,I'm Still Here,FALSE,FALSE,FALSE
2024,97,Nickel Boys,FALSE,FALSE,FALSE
2024,97,The Substance,FALSE,FALSE,FALSE
2024,97,Wicked,FALSE,TRUE,FALSE
2025,98,One Battle After Another,TRUE,FALSE,FALSE
2025,98,Bugonia,FALSE,FALSE,FALSE
2025,98,F1,FALSE,FALSE,FALSE
2025,98,Frankenstein,FALSE,FALSE,FALSE
2025,98,Hamnet,FALSE,FALSE,FALSE
2025,98,Marty Supreme,FALSE,FALSE,FALSE
2025,98,The Secret Agent,FALSE,FALSE,FALSE
2025,98,Sentimental Value,FALSE,FALSE,FALSE
2025,98,Sinners,FALSE,FALSE,FALSE
2025,98,Train Dreams,FALSE,FALSE,FALSE
