"","film","year","ceremony","winner","wiki_link","Running_Time_Minutes","Budget_Millions","Box_Office_Millions"
"89","Her",2013,86,FALSE,"https://en.wikipedia.org/wiki/Her_(2013_film)",126,23,48.3
"90","Nebraska",2013,86,FALSE,"https://en.wikipedia.org/wiki/Nebraska_(film)",115,13.5,27.7
"91","Philomena",2013,86,FALSE,"https://en.wikipedia.org/wiki/Philomena_(film)",98,12,100.1
"92","The Wolf of Wall Street",2013,86,FALSE,"https://en.wikipedia.org/wiki/The_Wolf_of_Wall_Street_(2013_film)",180,100,407
"93","American Sniper",2014,87,FALSE,"https://en.wikipedia.org/wiki/American_Sniper",132,59,547.7
"94","Birdman or (The Unexpected Virtue of Ignorance)",2014,87,TRUE,"https://en.wikipedia.org/wiki/Birdman_(film)",119,17.25,103.2
"95","Boyhood",2014,87,FALSE,"https://en.wikipedia.org/wiki/Boyhood_(2014_film)",165,4,57.3
"96","Selma",2014,87,FALSE,"https://en.wikipedia.org/wiki/Selma_(film)",128,20,67.8
"97","The Grand Budapest Hotel",2014,87,FALSE,"https://en.wikipedia.org/wiki/The_Grand_Budapest_Hotel",100,25,174.6
"98","The Imitation Game",2014,87,FALSE,"https://en.wikipedia.org/wiki/The_Imitation_Game",115,14,233.6
"99","The Theory of Everything",2014,87,FALSE,"https://en.wikipedia.org/wiki/The_Theory_of_Everything_(2014_film)",123,15,123.7
"100","Whiplash",2014,87,FALSE,"https://en.wikipedia.org/wiki/Whiplash_(2014_film)",106,3.3,50.4
"101","Bridge of Spies",2015,88,FALSE,"https://en.wikipedia.org/wiki/Bridge_of_Spies_(film)",141,40,165.5
"102","Brooklyn",2015,88,FALSE,"https://en.wikipedia.org/wiki/Brooklyn_(film)",112,11,62.4
"103","Mad Max: Fury Road",2015,88,FALSE,"https://en.wikipedia.org/wiki/Mad_Max:_Fury_Road",120,169.85,380.4
"104","Room",2015,88,FALSE,"https://en.wikipedia.org/wiki/Room_(2015_film)",118,13,36.3
"105","Spotlight",2015,88,TRUE,"https://en.wikipedia.org/wiki/Spotlight_(film)",129,20,98.7
"106","The Big Short",2015,88,FALSE,"https://en.wikipedia.org/wiki/The_Big_Short_(film)",130,50,133.4
"107","The Martian",2015,88,FALSE,"https://en.wikipedia.org/wiki/The_Martian_(film)",142,108,630.6
"108","The Revenant",2015,88,FALSE,"https://en.wikipedia.org/wiki/The_Revenant_(2015_film)",156,135,533
"109","Arrival",2016,89,FALSE,"https://en.wikipedia.org/wiki/Arrival_(film)",116,47,203.4
"110","Fences",2016,89,FALSE,"https://en.wikipedia.org/wiki/Fences_(film)",138,24,64.4
"111","Hacksaw Ridge",2016,89,FALSE,"https://en.wikipedia.org/wiki/Hacksaw_Ridge",139,40,180.6
"112","Hell or High Water",2016,89,FALSE,"https://en.wikipedia.org/wiki/Hell_or_High_Water_(film)",102,12,37.9
"113","Hidden Figures",2016,89,FALSE,"https://en.wikipedia.org/wiki/Hidden_Figures",127,25,236
"114","La La Land",2016,89,FALSE,"https://en.wikipedia.org/wiki/La_La_Land",128,30,504.6
