film,director,year,bd_award_no_concurrent,bd_award_yes_concurrent,bd_nominate_no_concurrent,bd_nominate_yes_concurrent,winner
Don't Look Up,Adam McKay,2021,0,0,2,2,FALSE
Drive My Car,Ryûsuke Hamaguchi,2021,0,0,0,0,FALSE
Dune,Denis Villeneuve,2021,0,0,1,1,FALSE
King Richard,Reinaldo Marcus Green,2021,0,0,0,0,FALSE
Licorice Pizza,Paul Thomas Anderson,2021,0,0,3,3,FALSE
Nightmare Alley,Guillermo del Toro,2021,1,1,0,0,FALSE
The Power of the Dog,Jane Campion,2021,1,1,1,1,FALSE
West Side Story,Steven Spielberg,2021,2,2,7,7,FALSE
All Quiet on the Western Front,Edward Berger,2022,0,0,0,0,FALSE
Avatar: The Way of Water,James Cameron,2022,1,1,1,1,FALSE
The Banshees of Inisherin,Martin McDonagh,2022,0,0,1,1,FALSE
Elvis,Baz Luhrmann,2022,0,0,0,0,FALSE
Everything Everywhere All at Once,"Daniel Kwan, Daniel Scheinert",2022,0,0,0,0,TRUE
The Fabelmans,Steven Spielberg,2022,2,2,7,7,FALSE
Tár,Todd Field,2022,0,0,1,1,FALSE
Top Gun: Maverick,Joseph Kosinski,2022,0,0,0,0,FALSE
Triangle of Sadness,Ruben Östlund,2022,0,0,1,1,FALSE
Women Talking,Sarah Polley,2022,0,0,0,0,FALSE
American Fiction,Cord Jefferson,2023,0,0,0,0,FALSE
Anatomy of a Fall,Justine Triet,2023,0,0,1,1,FALSE
Barbie,Greta Gerwig,2023,0,0,1,1,FALSE
The Holdovers,Alexander Payne,2023,0,0,3,3,FALSE
Killers of the Flower Moon,Martin Scorsese,2023,1,1,9,9,FALSE
Maestro,Bradley Cooper,2023,0,0,0,0,FALSE
Oppenheimer,Christopher Nolan,2023,1,1,1,1,TRUE
Past Lives,Celine Song,2023,0,0,0,0,FALSE
Poor Things,Yorgos Lanthimos,2023,0,0,2,2,FALSE
The Zone of Interest,Jonathan Glazer,2023,0,0,1,1,FALSE
Anora,Sean Baker,2024,1,1,0,0,TRUE
The Brutalist,Brady Corbet,2024,0,0,1,1,FALSE
A Complete Unknown,James Mangold,2024,0,0,1,1,FALSE
Conclave,Edward Berger,2024,0,0,0,0,FALSE
Dune: Part Two,Denis Villeneuve,2024,0,0,1,1,FALSE
Emilia Pérez,Jacques Audiard,2024,0,0,1,1,FALSE
I'm Still Here,Walter Salles,2024,0,0,0,0,FALSE
Nickel Boys,RaMell Ross,2024,0,0,0,0,FALSE
The Substance,Coralie Fargeat,2024,0,0,1,1,FALSE
Wicked,Jon M. Chu,2024,0,0,0,0,FALSE
One Battle After Another,Paul Thomas Anderson,2025,0,1,3,3,TRUE
Bugonia,Yorgos Lanthimos,2025,0,0,2,2,FALSE
F1,Joseph Kosinski,2025,0,0,0,0,FALSE
Frankenstein,Guillermo del Toro,2025,1,1,0,0,FALSE
Hamnet,Chloé Zhao,2025,1,1,0,1,FALSE
Marty Supreme,Josh Safdie,2025,0,0,0,1,FALSE
The Secret Agent,Kleber Mendonça Filho,2025,0,0,0,0,FALSE
Sentimental Value,Joachim Trier,2025,0,0,0,1,FALSE
Sinners,Ryan Coogler,2025,0,0,0,1,FALSE
Train Dreams,Clint Bentley,2025,0,0,0,0,FALSE
